Datum,Spieltag
07./08.09.2024,1
14./15.09.2024,2
21./22.09.2024,3
28./29.09.2024,4
05./06.10.2024,5
02./03.11.2024,6
09./10.11.2024,7
16./17.11.2024,8
30./01.12.2024,9
07./08.12.2024,10
14./15.12.2024,11
18./19.01.2025,12
25./26.01.2025,13
01./02.02.2025,14
08./09.02.2025,15
15./16.02.2025,16
08./09.03.2025,17
15./16.03.2025,18
22./23.03.2025,19
29./30.03.2025,20
05./06.04.2025,21
12./13.04.2025,22
